Original_Group,Country,ISO3,Status,Common_Years,Common_Coverage_%,Common_Start_Year,Common_End_Year,Missing_Common_Years,Coverage_Rank_Within_Group
India,Malaysia,MYS,Alternative 2,9,34.6,2009.0,2020.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2013,2017,2019,2021,2022,2023,2024,2025",1
India,Vietnam,VNM,Alternative 1,5,19.2,2013.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2016,2018,2020,2022,2023,2024,2025",2
India,India,IND,Original,4,15.4,2010.0,2020.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2016,2017,2019,2021,2022,2023,2024,2025",3
China,Japan,JPN,Alternative 1,9,34.6,2013.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2022,2023,2024,2025",1
China,Singapore,SGP,Alternative 2,9,34.6,2010.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2013,2014,2015,2022,2023,2024,2025",2
China,China,CHN,Original,0,0.0,,,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",3
South Korea,South Korea,KOR,Original,7,26.9,2015.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2022,2023,2024,2025",1
Taiwan,Taiwan,TWN,Original,0,0.0,,,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",1
Israel,Sweden,SWE,Alternative 2,15,57.7,2007.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2022,2023,2024,2025",1
Israel,Netherlands,NLD,Alternative 1,12,46.2,2007.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2013,2014,2019,2022,2023,2024,2025",2
Israel,Israel,ISR,Original,0,0.0,,,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",3
Brazil,Mexico,MEX,Alternative 1,13,50.0,2008.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2019,2022,2023,2024,2025",1
Brazil,Türkiye,TUR,Alternative 2,11,42.3,2011.0,2021.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2022,2023,2024,2025",2
Brazil,Brazil,BRA,Original,3,11.5,2012.0,2014.0,"2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",3
