Country,ReporterCode,Year,HTTP,Records,Status
India,356,2000,200,0,NO DATA RETURNED
India,356,2001,200,0,NO DATA RETURNED
India,356,2002,429,0,HTTP ERROR
India,356,2003,429,0,HTTP ERROR
India,356,2004,200,0,NO DATA RETURNED
India,356,2005,429,0,HTTP ERROR
India,356,2006,429,0,HTTP ERROR
India,356,2007,200,0,NO DATA RETURNED
India,356,2008,429,0,HTTP ERROR
India,356,2009,429,0,HTTP ERROR
India,356,2010,200,0,NO DATA RETURNED
India,356,2011,429,0,HTTP ERROR
India,356,2012,429,0,HTTP ERROR
India,356,2013,200,0,NO DATA RETURNED
India,356,2014,429,0,HTTP ERROR
India,356,2015,429,0,HTTP ERROR
India,356,2016,200,0,NO DATA RETURNED
India,356,2017,429,0,HTTP ERROR
India,356,2018,429,0,HTTP ERROR
India,356,2019,200,0,NO DATA RETURNED
India,356,2020,429,0,HTTP ERROR
India,356,2021,429,0,HTTP ERROR
India,356,2022,200,0,NO DATA RETURNED
India,356,2023,429,0,HTTP ERROR
India,356,2024,429,0,HTTP ERROR
India,356,2025,200,0,NO DATA RETURNED
China,156,2000,429,0,HTTP ERROR
China,156,2001,429,0,HTTP ERROR
China,156,2002,200,500,AVAILABLE
China,156,2003,429,0,HTTP ERROR
China,156,2004,200,500,AVAILABLE
China,156,2005,429,0,HTTP ERROR
China,156,2006,200,500,AVAILABLE
China,156,2007,429,0,HTTP ERROR
China,156,2008,200,500,AVAILABLE
China,156,2009,429,0,HTTP ERROR
China,156,2010,200,500,AVAILABLE
China,156,2011,429,0,HTTP ERROR
China,156,2012,429,0,HTTP ERROR
China,156,2013,200,500,AVAILABLE
China,156,2014,429,0,HTTP ERROR
China,156,2015,429,0,HTTP ERROR
China,156,2016,200,500,AVAILABLE
China,156,2017,429,0,HTTP ERROR
China,156,2018,200,500,AVAILABLE
China,156,2019,429,0,HTTP ERROR
China,156,2020,200,500,AVAILABLE
China,156,2021,429,0,HTTP ERROR
China,156,2022,200,500,AVAILABLE
China,156,2023,200,500,AVAILABLE
China,156,2024,429,0,HTTP ERROR
China,156,2025,429,0,HTTP ERROR
South Korea,410,2000,200,500,AVAILABLE
South Korea,410,2001,429,0,HTTP ERROR
South Korea,410,2002,200,500,AVAILABLE
South Korea,410,2003,429,0,HTTP ERROR
South Korea,410,2004,200,500,AVAILABLE
South Korea,410,2005,200,500,AVAILABLE
South Korea,410,2006,200,500,AVAILABLE
South Korea,410,2007,429,0,HTTP ERROR
South Korea,410,2008,200,500,AVAILABLE
South Korea,410,2009,429,0,HTTP ERROR
South Korea,410,2010,200,500,AVAILABLE
South Korea,410,2011,429,0,HTTP ERROR
South Korea,410,2012,200,500,AVAILABLE
South Korea,410,2013,429,0,HTTP ERROR
South Korea,410,2014,200,500,AVAILABLE
South Korea,410,2015,429,0,HTTP ERROR
South Korea,410,2016,200,500,AVAILABLE
South Korea,410,2017,200,500,AVAILABLE
South Korea,410,2018,200,500,AVAILABLE
South Korea,410,2019,200,500,AVAILABLE
South Korea,410,2020,429,0,HTTP ERROR
South Korea,410,2021,200,500,AVAILABLE
South Korea,410,2022,200,500,AVAILABLE
South Korea,410,2023,429,0,HTTP ERROR
South Korea,410,2024,200,500,AVAILABLE
South Korea,410,2025,429,0,HTTP ERROR
Taiwan,158,2000,429,0,HTTP ERROR
Taiwan,158,2001,200,0,NO DATA RETURNED
Taiwan,158,2002,429,0,HTTP ERROR
Taiwan,158,2003,200,0,NO DATA RETURNED
Taiwan,158,2004,429,0,HTTP ERROR
Taiwan,158,2005,429,0,HTTP ERROR
Taiwan,158,2006,200,0,NO DATA RETURNED
Taiwan,158,2007,200,0,NO DATA RETURNED
Taiwan,158,2008,429,0,HTTP ERROR
Taiwan,158,2009,200,0,NO DATA RETURNED
Taiwan,158,2010,429,0,HTTP ERROR
Taiwan,158,2011,200,0,NO DATA RETURNED
Taiwan,158,2012,429,0,HTTP ERROR
Taiwan,158,2013,200,0,NO DATA RETURNED
Taiwan,158,2014,429,0,HTTP ERROR
Taiwan,158,2015,429,0,HTTP ERROR
Taiwan,158,2016,200,0,NO DATA RETURNED
Taiwan,158,2017,429,0,HTTP ERROR
Taiwan,158,2018,429,0,HTTP ERROR
Taiwan,158,2019,200,0,NO DATA RETURNED
Taiwan,158,2020,429,0,HTTP ERROR
Taiwan,158,2021,200,0,NO DATA RETURNED
Taiwan,158,2022,429,0,HTTP ERROR
Taiwan,158,2023,429,0,HTTP ERROR
Taiwan,158,2024,200,0,NO DATA RETURNED
