Variable,Source,Country,Code,Status,Earliest,Latest,Years,Notes
High-tech exports,World Bank,India,IND,AVAILABLE,2009.0,2024.0,16.0,
High-tech exports,World Bank,China,CHN,AVAILABLE,2007.0,2024.0,18.0,
High-tech exports,World Bank,South Korea,KOR,AVAILABLE,2007.0,2024.0,18.0,
High-tech exports,World Bank,Taiwan,TWN,ERROR,,,,'NoneType' object is not iterable
High-tech exports,World Bank,Israel,ISR,AVAILABLE,2007.0,2024.0,18.0,
High-tech exports,World Bank,Brazil,BRA,AVAILABLE,2007.0,2024.0,18.0,
R&D expenditure,World Bank,India,IND,AVAILABLE,2000.0,2020.0,21.0,
R&D expenditure,World Bank,China,CHN,AVAILABLE,2000.0,2023.0,24.0,
R&D expenditure,World Bank,South Korea,KOR,AVAILABLE,2000.0,2023.0,24.0,
R&D expenditure,World Bank,Taiwan,TWN,ERROR,,,,'NoneType' object is not iterable
R&D expenditure,World Bank,Israel,ISR,AVAILABLE,2000.0,2023.0,24.0,
R&D expenditure,World Bank,Brazil,BRA,AVAILABLE,2000.0,2023.0,24.0,
Researchers in R&D,World Bank,India,IND,AVAILABLE,2000.0,2020.0,6.0,
Researchers in R&D,World Bank,China,CHN,AVAILABLE,2000.0,2023.0,24.0,
Researchers in R&D,World Bank,South Korea,KOR,AVAILABLE,2000.0,2023.0,24.0,
Researchers in R&D,World Bank,Taiwan,TWN,ERROR,,,,'NoneType' object is not iterable
Researchers in R&D,World Bank,Israel,ISR,NO DATA,,,,
Researchers in R&D,World Bank,Brazil,BRA,AVAILABLE,2000.0,2014.0,15.0,
Patent applications - residents,World Bank,India,IND,AVAILABLE,2000.0,2021.0,22.0,
Patent applications - residents,World Bank,China,CHN,AVAILABLE,2000.0,2021.0,22.0,
Patent applications - residents,World Bank,South Korea,KOR,AVAILABLE,2000.0,2021.0,22.0,
Patent applications - residents,World Bank,Taiwan,TWN,ERROR,,,,'NoneType' object is not iterable
Patent applications - residents,World Bank,Israel,ISR,AVAILABLE,2000.0,2021.0,22.0,
Patent applications - residents,World Bank,Brazil,BRA,AVAILABLE,2000.0,2021.0,22.0,
Patent applications - non-residents,World Bank,India,IND,AVAILABLE,2000.0,2021.0,22.0,
