country_code,country,year,variable,source_needed
IND,India,2021,rd_expenditure,OECD MSTI
IND,India,2022,rd_expenditure,OECD MSTI
IND,India,2023,rd_expenditure,OECD MSTI
IND,India,2024,rd_expenditure,OECD MSTI
IND,India,2025,rd_expenditure,OECD MSTI
IND,India,2001,researchers_rd,OECD MSTI
IND,India,2002,researchers_rd,OECD MSTI
IND,India,2003,researchers_rd,OECD MSTI
IND,India,2004,researchers_rd,OECD MSTI
IND,India,2006,researchers_rd,OECD MSTI
IND,India,2007,researchers_rd,OECD MSTI
IND,India,2008,researchers_rd,OECD MSTI
IND,India,2009,researchers_rd,OECD MSTI
IND,India,2011,researchers_rd,OECD MSTI
IND,India,2012,researchers_rd,OECD MSTI
IND,India,2013,researchers_rd,OECD MSTI
IND,India,2014,researchers_rd,OECD MSTI
IND,India,2016,researchers_rd,OECD MSTI
IND,India,2017,researchers_rd,OECD MSTI
IND,India,2019,researchers_rd,OECD MSTI
IND,India,2021,researchers_rd,OECD MSTI
IND,India,2022,researchers_rd,OECD MSTI
IND,India,2023,researchers_rd,OECD MSTI
IND,India,2024,researchers_rd,OECD MSTI
IND,India,2025,researchers_rd,OECD MSTI
CHN,China,2025,rd_expenditure,OECD MSTI
CHN,China,2025,researchers_rd,OECD MSTI
KOR,South Korea,2025,rd_expenditure,OECD MSTI
KOR,South Korea,2025,researchers_rd,OECD MSTI
TWN,Taiwan,2025,rd_expenditure,OECD MSTI
TWN,Taiwan,2002,researchers_rd,OECD MSTI
TWN,Taiwan,2003,researchers_rd,OECD MSTI
TWN,Taiwan,2025,researchers_rd,OECD MSTI
ISR,Israel,2025,rd_expenditure,OECD MSTI
ISR,Israel,2000,researchers_rd,OECD MSTI
ISR,Israel,2001,researchers_rd,OECD MSTI
ISR,Israel,2002,researchers_rd,OECD MSTI
ISR,Israel,2003,researchers_rd,OECD MSTI
ISR,Israel,2004,researchers_rd,OECD MSTI
ISR,Israel,2005,researchers_rd,OECD MSTI
ISR,Israel,2006,researchers_rd,OECD MSTI
ISR,Israel,2007,researchers_rd,OECD MSTI
ISR,Israel,2008,researchers_rd,OECD MSTI
ISR,Israel,2009,researchers_rd,OECD MSTI
ISR,Israel,2010,researchers_rd,OECD MSTI
ISR,Israel,2011,researchers_rd,OECD MSTI
ISR,Israel,2012,researchers_rd,OECD MSTI
ISR,Israel,2013,researchers_rd,OECD MSTI
ISR,Israel,2014,researchers_rd,OECD MSTI
ISR,Israel,2015,researchers_rd,OECD MSTI
ISR,Israel,2016,researchers_rd,OECD MSTI
ISR,Israel,2017,researchers_rd,OECD MSTI
ISR,Israel,2018,researchers_rd,OECD MSTI
ISR,Israel,2019,researchers_rd,OECD MSTI
ISR,Israel,2020,researchers_rd,OECD MSTI
ISR,Israel,2021,researchers_rd,OECD MSTI
ISR,Israel,2022,researchers_rd,OECD MSTI
ISR,Israel,2023,researchers_rd,OECD MSTI
ISR,Israel,2024,researchers_rd,OECD MSTI
ISR,Israel,2025,researchers_rd,OECD MSTI
BRA,Brazil,2024,rd_expenditure,OECD MSTI
BRA,Brazil,2025,rd_expenditure,OECD MSTI
BRA,Brazil,2015,researchers_rd,OECD MSTI
BRA,Brazil,2016,researchers_rd,OECD MSTI
BRA,Brazil,2017,researchers_rd,OECD MSTI
BRA,Brazil,2018,researchers_rd,OECD MSTI
BRA,Brazil,2019,researchers_rd,OECD MSTI
BRA,Brazil,2020,researchers_rd,OECD MSTI
BRA,Brazil,2021,researchers_rd,OECD MSTI
BRA,Brazil,2022,researchers_rd,OECD MSTI
BRA,Brazil,2023,researchers_rd,OECD MSTI
BRA,Brazil,2024,researchers_rd,OECD MSTI
BRA,Brazil,2025,researchers_rd,OECD MSTI
