country,year,government_education_wdi
Brazil,2000,3.94893002510071
Brazil,2001,3.84467005729675
Brazil,2002,3.75037002563477
Brazil,2003,
Brazil,2004,3.97448992729187
Brazil,2005,4.47909021377563
Brazil,2006,4.87060022354126
Brazil,2007,4.97426986694336
Brazil,2008,5.26884984970093
Brazil,2009,5.46355009078979
Brazil,2010,5.64879989624023
Brazil,2011,5.73741006851196
Brazil,2012,5.85510015487671
Brazil,2013,5.8388500213623
Brazil,2014,5.94848012924194
Brazil,2015,6.24105978012085
Brazil,2016,6.31403017044067
Brazil,2017,6.32047986984253
Brazil,2018,6.08851003646851
Brazil,2019,5.96346998214722
Brazil,2020,5.7714900970459
Brazil,2021,5.4969801902771
Brazil,2022,5.61920976638794
Brazil,2023,
Brazil,2024,
Brazil,2025,
China,2000,
China,2001,
China,2002,
China,2003,
China,2004,
China,2005,
China,2006,
China,2007,
China,2008,
China,2009,
China,2010,
China,2011,
China,2012,
China,2013,
China,2014,
China,2015,
China,2016,
China,2017,
China,2018,
China,2019,
China,2020,
China,2021,
China,2022,
China,2023,3.89714002609253
China,2024,
China,2025,
India,2000,4.32480001449585
India,2001,
India,2002,
India,2003,3.61342000961304
India,2004,3.35254001617432
India,2005,3.18876004219055
India,2006,3.14284992218018
India,2007,
India,2008,
India,2009,3.27824997901917
India,2010,3.377690076828
India,2011,3.79618000984192
India,2012,3.8675000667572
India,2013,3.84467005729675
India,2014,3.89878023242693
India,2015,4.1145601272583
India,2016,4.25406980514526
India,2017,4.30543994903565
India,2018,4.36374998092651
India,2019,3.89732003211975
India,2020,4.29335021972656
India,2021,4.62949991226196
India,2022,4.09865814174589
India,2023,
India,2024,
India,2025,
Israel,2000,5.93116998672485
Israel,2001,6.17636013031006
Israel,2002,6.24923992156982
Israel,2003,6.13486003875732
Israel,2004,5.75040006637573
Israel,2005,5.56489992141724
Israel,2006,5.58409023284912
Israel,2007,5.33169984817505
Israel,2008,5.40716981887817
Israel,2009,5.34174013137817
Israel,2010,5.40408992767334
Israel,2011,5.42928981781006
Israel,2012,5.56122016906738
Israel,2013,5.76972007751465
Israel,2014,5.69225978851318
Israel,2015,5.79657983779907
Israel,2016,5.80271005630493
Israel,2017,6.00425004959106
Israel,2018,6.06919002532959
Israel,2019,6.06899976730347
Israel,2020,6.51824998855591
Israel,2021,6.16727018356323
Israel,2022,5.93291997909546
Israel,2023,
Israel,2024,
Israel,2025,
South Korea,2000,
South Korea,2001,
South Korea,2002,
South Korea,2003,
South Korea,2004,
South Korea,2005,
South Korea,2006,
South Korea,2007,
South Korea,2008,
South Korea,2009,
South Korea,2010,
South Korea,2011,
South Korea,2012,
South Korea,2013,
South Korea,2014,
South Korea,2015,4.24247980117798
South Korea,2016,4.11502981185913
South Korea,2017,4.10775995254517
South Korea,2018,4.21645021438599
South Korea,2019,4.41813993453979
South Korea,2020,4.52706003189087
South Korea,2021,4.55590009689331
South Korea,2022,5.40910005569458
South Korea,2023,
South Korea,2024,
South Korea,2025,
