DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_STATUS_2,OBS_STATUS_3,AUX_OBS_STATUS,CONF_STATUS,UNIT_MULT,BASE_PER,DECIMALS
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2014,4607.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2015,5043.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2016,4579.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2017,4475.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2018,4230.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2020,4306.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2021,4543.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CRI,A,T_RS,PS,_Z,_Z,2024,4577.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2000,30165.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2001,29216.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2002,30635.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2003,31421.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2004,34151.88,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2005,37542.33,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2006,39676.19,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2007,42538.44,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2008,44240.14,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2009,43092.22,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2010,43418.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2011,45902.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2012,47651.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2013,51455.0,,,,,,0,,0
OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),CZE,A,T_RS,PS,_Z,_Z,2014,54493.0,,,,,,0,,0
