年度,本國人/外國人,專利類型,件數,更新日期,發布機關代碼
96,本國人,發明,23132,1150330,A13070000G
96,本國人,新型,22053,1150330,A13070000G
96,本國人,設計,4032,1150330,A13070000G
96,外國人,發明,28437,1150330,A13070000G
96,外國人,新型,664,1150330,A13070000G
96,外國人,設計,3410,1150330,A13070000G
97,本國人,發明,23744,1150330,A13070000G
97,本國人,新型,23053,1150330,A13070000G
97,本國人,設計,4266,1150330,A13070000G
97,外國人,發明,28087,1150330,A13070000G
97,外國人,新型,899,1150330,A13070000G
97,外國人,設計,3485,1150330,A13070000G
98,本國人,發明,22594,1150330,A13070000G
98,本國人,新型,24204,1150330,A13070000G
98,本國人,設計,4239,1150330,A13070000G
98,外國人,發明,23988,1150330,A13070000G
98,外國人,新型,828,1150330,A13070000G
98,外國人,設計,2499,1150330,A13070000G
99,本國人,發明,22790,1150330,A13070000G
99,本國人,新型,24813,1150330,A13070000G
99,本國人,設計,4268,1150330,A13070000G
99,外國人,發明,24537,1150330,A13070000G
99,外國人,新型,1020,1150330,A13070000G
99,外國人,設計,2952,1150330,A13070000G
100,本國人,發明,23432,1150330,A13070000G
100,本國人,新型,24037,1150330,A13070000G
100,本國人,設計,4592,1150330,A13070000G
100,外國人,發明,26487,1150330,A13070000G
100,外國人,新型,1133,1150330,A13070000G
100,外國人,設計,3143,1150330,A13070000G
101,本國人,發明,22949,1150330,A13070000G
101,本國人,新型,24378,1150330,A13070000G
101,本國人,設計,4955,1150330,A13070000G
101,外國人,發明,28240,1150330,A13070000G
101,外國人,新型,1259,1150330,A13070000G
101,外國人,設計,3293,1150330,A13070000G
102,本國人,發明,21633,1150330,A13070000G
102,本國人,新型,23769,1150330,A13070000G
102,本國人,設計,5133,1150330,A13070000G
102,外國人,發明,27584,1150330,A13070000G
102,外國人,新型,1256,1150330,A13070000G
102,外國人,設計,3836,1150330,A13070000G
103,本國人,發明,18988,1150330,A13070000G
103,本國人,新型,22113,1150330,A13070000G
103,本國人,設計,4672,1150330,A13070000G
103,外國人,發明,27391,1150330,A13070000G
103,外國人,新型,1375,1150330,A13070000G
103,外國人,設計,3476,1150330,A13070000G
104,本國人,發明,17262,1150330,A13070000G
104,本國人,新型,20132,1150330,A13070000G
104,本國人,設計,4450,1150330,A13070000G
104,外國人,發明,27153,1150330,A13070000G
104,外國人,新型,1272,1150330,A13070000G
104,外國人,設計,3358,1150330,A13070000G
105,本國人,發明,16866,1150330,A13070000G
105,本國人,新型,18998,1150330,A13070000G
105,本國人,設計,4579,1150330,A13070000G
105,外國人,發明,26970,1150330,A13070000G
105,外國人,新型,1163,1150330,A13070000G
105,外國人,設計,3866,1150330,A13070000G
106,本國人,發明,18199,1150330,A13070000G
106,本國人,新型,18343,1150330,A13070000G
106,本國人,設計,4293,1150330,A13070000G
106,外國人,發明,27923,1150330,A13070000G
106,外國人,新型,1206,1150330,A13070000G
106,外國人,設計,3827,1150330,A13070000G
107,本國人,發明,18365,1150330,A13070000G
107,本國人,新型,16661,1150330,A13070000G
107,本國人,設計,4252,1150330,A13070000G
107,外國人,發明,29064,1150330,A13070000G
107,外國人,新型,1249,1150330,A13070000G
107,外國人,設計,3830,1150330,A13070000G
108,本國人,發明,18984,1150330,A13070000G
108,本國人,新型,16412,1150330,A13070000G
108,本國人,設計,4208,1150330,A13070000G
108,外國人,發明,29284,1150330,A13070000G
108,外國人,新型,1168,1150330,A13070000G
108,外國人,設計,4596,1150330,A13070000G
109,本國人,發明,19012,1150330,A13070000G
109,本國人,新型,16445,1150330,A13070000G
109,本國人,設計,3947,1150330,A13070000G
109,外國人,發明,27652,1150330,A13070000G
109,外國人,新型,1110,1150330,A13070000G
109,外國人,設計,4072,1150330,A13070000G
110,本國人,發明,19547,1150330,A13070000G
110,本國人,新型,14543,1150330,A13070000G
110,本國人,設計,3534,1150330,A13070000G
110,外國人,發明,29569,1150330,A13070000G
110,外國人,新型,1253,1150330,A13070000G
110,外國人,設計,4167,1150330,A13070000G
111,本國人,發明,19400,1150330,A13070000G
111,本國人,新型,13669,1150330,A13070000G
111,本國人,設計,3411,1150330,A13070000G
111,外國人,發明,30842,1150330,A13070000G
111,外國人,新型,993,1150330,A13070000G
111,外國人,設計,3744,1150330,A13070000G
112,本國人,發明,19634,1150330,A13070000G
112,本國人,新型,13309,1150330,A13070000G
112,本國人,設計,3437,1150330,A13070000G
112,外國人,發明,31220,1150330,A13070000G
112,外國人,新型,1157,1150330,A13070000G
112,外國人,設計,3850,1150330,A13070000G
113,本國人,發明,19586,1150330,A13070000G
113,本國人,新型,13341,1150330,A13070000G
113,本國人,設計,3338,1150330,A13070000G
113,外國人,發明,31237,1150330,A13070000G
113,外國人,新型,1218,1150330,A13070000G
113,外國人,設計,4022,1150330,A13070000G
114,本國人,發明,19511,1150330,A13070000G
114,本國人,新型,12574,1150330,A13070000G
114,本國人,設計,3192,1150330,A13070000G
114,外國人,發明,31719,1150330,A13070000G
114,外國人,新型,1426,1150330,A13070000G
114,外國人,設計,3543,1150330,A13070000G
