country,year,IP.PAT.RESD,IP.PAT.NRES
Taiwan,2000,36369,24862
Taiwan,2001,40210,27650
Taiwan,2002,35926,25476
Taiwan,2003,39663,26079
Taiwan,2004,43020,29062
Taiwan,2005,47721,31721
Taiwan,2006,48626,32362
Taiwan,2007,49217,32511
Taiwan,2008,51063,32471
Taiwan,2009,51037,27315
Taiwan,2010,51871,28509
Taiwan,2011,52061,30763
Taiwan,2012,52282,32792
Taiwan,2013,50535,32676
Taiwan,2014,45773,32242
Taiwan,2015,41844,31783
Taiwan,2016,40443,31999
Taiwan,2017,40835,32956
Taiwan,2018,39278,34143
Taiwan,2019,39604,35048
Taiwan,2020,39404,32834
Taiwan,2021,37624,34989
Taiwan,2022,36480,35579
Taiwan,2023,36380,36227
Taiwan,2024,36265,36477
Taiwan,2025,35277,36688
