Intellectual property right :Patent

Indicator :1 - Total patent applications (direct and PCT national phase entries)

Source: WIPO statistics database. Last updated: May 2026

Office,Office (Code),Origin,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brazil","BR","Total","Resident","3179","3439","3481","3866","4044","4054","3956","4194","4280","4271","4228","4695","4798","4959","4659","4641","5200","5480","4980","5464","5280","4666","4398","4973","5752",
"Brazil","BR","Total","Non-resident","14104","14410","13204","12545","12669","14444","15886","17469","18890","18135","20771","23954","25637","25925","25683","25578","22810","20178","19877","19932","19058","19566","20361","20396","19845",
"China","CN","Total","Resident","25346","30038","39806","56769","65786","93485","122318","153060","194579","229096","293066","415829","535313","704936","801135","968252","1204981","1245709","1393815","1243568","1344817","1427845","1464605","1522292","1672001",
"China","CN","Total","Non-resident","26560","33412","40426","48548","64598","79842","88183","92101","95259","85508","98111","110583","117464","120200","127042","133612","133522","135885","148187","157093","152342","157818","154663","155409","156053",
"India","IN","Total","Resident","2206","2379","2693","3425","4014","4721","5686","6296","6425","7262","8853","8841","9553","10669","12040","12579","13199","14961","16289","19454","23141","26267","38551","49860","63217",
"India","IN","Total","Non-resident","6332","8213","8772","9188","13452","19661","23242","28922","30387","27025","30909","33450","34402","32362","30814","33079","31858","31621","33766","34173","33630","35306","38517","40438","41940",
"Israel","IL","Total","Resident","1599","1248","1213","1329","1544","1669","1342","1615","1528","1387","1450","1360","1319","1201","1125","1285","1300","1436","1506","1368","1642","1592","1527","1435","1448",
"Israel","IL","Total","Non-resident","5203","5521","5095","4569","4870","5157","6154","6394","6214","5387","5856","5526","5473","4984","5148","5623","5119","5377","5857","6370","6481","8017","8546","7818","6814",
"Republic of Korea","KR","Total","Resident","72831","73714","76570","90313","105250","122188","125476","128701","127114","127316","131805","138034","148136","159978","164073","167275","163424","159084","162561","171603","180477","186245","183748","191142","195786",
"Republic of Korea","KR","Total","Non-resident","29179","30898","29566","28338","34865","38733","40713","43768","43518","36207","38296","40890","40779","44611","46219","46419","45406","45691","47431","47372","46282","51753","53885","52168","50459",
