country,year,IP.PAT.RESD,IP.PAT.NRES
Brazil,2000,3179,14104
Brazil,2001,3439,14410
Brazil,2002,3481,13204
Brazil,2003,3866,12545
Brazil,2004,4044,12669
Brazil,2005,4054,14444
Brazil,2006,3956,15886
Brazil,2007,4194,17469
Brazil,2008,4280,18890
Brazil,2009,4271,18135
Brazil,2010,4228,20771
Brazil,2011,4695,23954
Brazil,2012,4798,25637
Brazil,2013,4959,25925
Brazil,2014,4659,25683
Brazil,2015,4641,25578
Brazil,2016,5200,22810
Brazil,2017,5480,20178
Brazil,2018,4980,19877
Brazil,2019,5464,19932
Brazil,2020,5280,19058
Brazil,2021,4666,19566
Brazil,2022,4398,20361
Brazil,2023,4973,20396
Brazil,2024,5752,19845
China,2000,25346,26560
China,2001,30038,33412
China,2002,39806,40426
China,2003,56769,48548
China,2004,65786,64598
China,2005,93485,79842
China,2006,122318,88183
China,2007,153060,92101
China,2008,194579,95259
China,2009,229096,85508
China,2010,293066,98111
China,2011,415829,110583
China,2012,535313,117464
China,2013,704936,120200
China,2014,801135,127042
China,2015,968252,133612
China,2016,1204981,133522
China,2017,1245709,135885
China,2018,1393815,148187
China,2019,1243568,157093
China,2020,1344817,152342
China,2021,1427845,157818
China,2022,1464605,154663
China,2023,1522292,155409
China,2024,1672001,156053
India,2000,2206,6332
India,2001,2379,8213
India,2002,2693,8772
India,2003,3425,9188
India,2004,4014,13452
India,2005,4721,19661
India,2006,5686,23242
India,2007,6296,28922
India,2008,6425,30387
India,2009,7262,27025
India,2010,8853,30909
India,2011,8841,33450
India,2012,9553,34402
India,2013,10669,32362
India,2014,12040,30814
India,2015,12579,33079
India,2016,13199,31858
India,2017,14961,31621
India,2018,16289,33766
India,2019,19454,34173
India,2020,23141,33630
India,2021,26267,35306
India,2022,38551,38517
India,2023,49860,40438
India,2024,63217,41940
Israel,2000,1599,5203
Israel,2001,1248,5521
Israel,2002,1213,5095
Israel,2003,1329,4569
Israel,2004,1544,4870
Israel,2005,1669,5157
Israel,2006,1342,6154
Israel,2007,1615,6394
Israel,2008,1528,6214
Israel,2009,1387,5387
Israel,2010,1450,5856
Israel,2011,1360,5526
Israel,2012,1319,5473
Israel,2013,1201,4984
Israel,2014,1125,5148
Israel,2015,1285,5623
Israel,2016,1300,5119
Israel,2017,1436,5377
Israel,2018,1506,5857
Israel,2019,1368,6370
Israel,2020,1642,6481
Israel,2021,1592,8017
Israel,2022,1527,8546
Israel,2023,1435,7818
Israel,2024,1448,6814
South Korea,2000,72831,29179
South Korea,2001,73714,30898
South Korea,2002,76570,29566
South Korea,2003,90313,28338
South Korea,2004,105250,34865
South Korea,2005,122188,38733
South Korea,2006,125476,40713
South Korea,2007,128701,43768
South Korea,2008,127114,43518
South Korea,2009,127316,36207
South Korea,2010,131805,38296
South Korea,2011,138034,40890
South Korea,2012,148136,40779
South Korea,2013,159978,44611
South Korea,2014,164073,46219
South Korea,2015,167275,46419
South Korea,2016,163424,45406
South Korea,2017,159084,45691
South Korea,2018,162561,47431
South Korea,2019,171603,47372
South Korea,2020,180477,46282
South Korea,2021,186245,51753
South Korea,2022,183748,53885
South Korea,2023,191142,52168
South Korea,2024,195786,50459
