country,year,hightech_exports_wits,source,indicator,note
Brazil,2000,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2001,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2002,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2003,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2004,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2005,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2006,,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2007,12.6278356939529,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2008,12.761526959305,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2009,14.7587820517537,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2010,12.590146869358,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2011,11.1409081379377,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2012,11.8872212915256,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2013,11.9698618012495,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2014,12.3711688680768,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2015,14.4858996246715,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2016,16.0001642772964,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2017,14.3118892236086,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2018,14.7442418256611,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
Brazil,2019,14.0668052120423,WITS / UN Comtrade,TX.VAL.TECH.MF.ZS,"Supplementary exact-indicator observations; reported trade data, not gap-filled"
